"Citable Reference","Context Description","Title","Description","Start Date","Start Date (num)","End Date","End Date (num)","Covering Dates","Held by","Catalogue level","References","Opening Date","Closure Status","Closure Type","Closure Code","Subjects","Digitised","ID","Score"
"WO 171/6187","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","90 Coy.","90 Coy.","01/01/1945","19450101","31/12/1945","19451231","1945 Jan.-Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4446293","711.692444"
"WO 171/5998","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL SIGNALS. Beach Signals.","101 Beach Sub Area","101 Beach Sub Area.","01/04/1945","19450401","31/08/1945","19450831","1945 Apr.- Aug.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4446104","706.511536"
"WO 171/3386","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. PROVOST. Companies.","241 Coy.","241 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4443492","636.0597"
"WO 171/3734","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. CAMPS. Transit Camps.","60 Camp","60 Camp.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4443840","635.4916"
"WO 171/2481","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","522 Coy.","522 Coy.","01/06/1944","19440601","31/12/1944","19441231","1944 June- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442589","611.7386"
"WO 171/2364","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","48 Coy.","48 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442472","611.6165"
"WO 171/1270","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.","5 Queen's Own Cameron Highlanders","5 Queen's Own Cameron Highlanders.","01/01/1944","19440101","30/09/1944","19440930","1944 Jan.- Sept.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4441379","611.361633"
"WO 171/2356","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","23 Coy.","23 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442464","610.5602"
"WO 171/2482","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","524 Coy.","524 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442590","606.3239"
"WO 171/2474","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","506 Coy.","506 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442582","606.251343"
"WO 171/2377","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","90 Coy.","90 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442485","604.41626"
"WO 171/2736","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY ORDNANCE CORPS. Port Ammunition Detachments.","44 Det.","44 Det.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442844","603.461853"
"WO 171/2363","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","47 Coy.","47 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442471","602.9483"
"WO 171/2362","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","39 Coy.","39 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442470","602.2326"
"WO 171/2707","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY ORDNANCE CORPS. Port Detachments.","44 Det.","44 Det.","01/01/1944","19440101","31/08/1944","19440831","1944 Jan.- Aug.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442815","602.133362"
"WO 171/2506","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","633 Coy.","633 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442614","601.1871"
"WO 171/2689","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY ORDNANCE CORPS. Beach Detachments.","11 Det.","11 Det.","01/01/1944","19440101","30/11/1944","19441130","1944 Jan.- Nov.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442797","596.537231"
"WO 171/2381","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","101 Coy.","101 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442489","596.2299"
"WO 171/2507","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","635 Coy.","635 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442615","595.401733"
"WO 171/2419","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","257 Coy.","257 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442527","592.943"
"WO 171/2380","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","96 Coy.","96 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442488","590.747742"
"WO 171/2402","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Companies.","172 Coy.","172 Coy.","01/01/1944","19440101","31/12/1944","19441231","1944 Jan.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442510","590.573669"
"WO 171/2288","War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMY SERVICE CORPS. Petrol Depots.","237 Depot","237 Depot.","01/02/1944","19440201","31/12/1944","19441231","1944 Feb.- Dec.","The National Archives, Kew","6","","10/01/1996","Open Document, Open Description","Closed Until","1996","C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10074 Oil and gas;
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army","","C4442396","584.808"
